system,r,dt,final_time_fidelity,minimum_fidelity,mean_fidelity,single_step_1q_count,single_step_2q_count,single_step_depth,synthesis_model,total_1q_count,total_2q_count,total_gate_count,estimated_total_depth
harmonic_oscillator,20,0.3141592653589793,0.9971577784878082,0.9962593121595978,0.9987411648026476,213,264,354,Qiskit_transpiled_DiagonalGate_plus_QFTGate,4260,5280,9540,7080
harmonic_oscillator,40,0.1570796326794896,0.9998215326790196,0.9997667590347764,0.999921900426198,213,264,354,Qiskit_transpiled_DiagonalGate_plus_QFTGate,8520,10560,19080,14160
harmonic_oscillator,60,0.1047197551196597,0.9999647218588056,0.999953960126296,0.9999846040554616,213,264,354,Qiskit_transpiled_DiagonalGate_plus_QFTGate,12780,15840,28620,21240
harmonic_oscillator,80,0.0785398163397448,0.9999888318147032,0.9999854342893651,0.9999951312529932,213,264,354,Qiskit_transpiled_DiagonalGate_plus_QFTGate,17040,21120,38160,28320
harmonic_oscillator,100,0.0628318530717958,0.9999954217164364,0.9999940323764112,0.999998005035128,213,264,354,Qiskit_transpiled_DiagonalGate_plus_QFTGate,21300,26400,47700,35400
infinite_well,20,0.3,0.9999999999955058,0.9999999999955058,0.9999999999955088,214,198,193,Qiskit_transpiled_QST_proxy_with_QFT_extension,4280,3960,8240,3860
infinite_well,40,0.15,0.9999999999954978,0.9999999999954978,0.9999999999955052,214,198,193,Qiskit_transpiled_QST_proxy_with_QFT_extension,8560,7920,16480,7720
infinite_well,60,0.1,0.999999999995488,0.999999999995488,0.9999999999955,214,198,193,Qiskit_transpiled_QST_proxy_with_QFT_extension,12840,11880,24720,11580
infinite_well,80,0.075,0.999999999995481,0.999999999995481,0.9999999999954966,214,198,193,Qiskit_transpiled_QST_proxy_with_QFT_extension,17120,15840,32960,15440
infinite_well,100,0.06,0.9999999999954776,0.9999999999954776,0.999999999995495,214,198,193,Qiskit_transpiled_QST_proxy_with_QFT_extension,21400,19800,41200,19300
